onset	duration	trial_type	response_time
12.227	0.5	incongruent	0.938
14.534	0.5	neutral	0.881
16.925	0.5	error	0.545
26.905	0.5	incongruent	0.889
29.596	0.5	neutral	0.858
32.037	0.5	congruent	0.622
34.594	0.5	neutral	0.883
37.252	0.5	congruent	0.696
39.843	0.5	incongruent	0.819
42.25	0.5	incongruent	0.574
44.608	0.5	incongruent	0.892
46.898	0.5	neutral	0.599
52.013	0.5	congruent	0.737
59.669	0.5	neutral	0.69
62.16	0.5	error	0.794
64.501	0.5	congruent	0.764
67.242	0.5	congruent	0.657
69.499	0.5	incongruent	0.742
72.257	0.5	congruent	0.741
74.965	0.5	error	0.0
77.506	0.5	incongruent	0.743
80.164	0.5	neutral	0.554
82.922	0.5	neutral	0.494
85.38	0.5	congruent	0.63
87.937	0.5	congruent	0.655
90.228	0.5	incongruent	0.784
92.769	0.5	error	0.704
95.075	0.5	incongruent	0.612
100.224	0.5	neutral	0.806
102.665	0.5	error	0.805
105.356	0.5	neutral	0.871
107.763	0.5	neutral	0.887
110.505	0.5	neutral	0.671
112.896	0.5	incongruent	0.618
115.604	0.5	incongruent	0.754
118.195	0.5	congruent	0.544
120.686	0.5	congruent	0.573
123.293	0.5	incongruent	0.581
128.141	0.5	neutral	0.815
130.398	0.5	incongruent	0.684
132.755	0.5	incongruent	0.874
137.72	0.5	incongruent	0.622
140.328	0.5	neutral	0.794
145.493	0.5	congruent	0.609
147.884	0.5	error	0.0
157.947	0.5	incongruent	0.85
160.237	0.5	congruent	0.629
162.544	0.5	incongruent	0.75
165.286	0.5	congruent	0.958
167.693	0.5	congruent	0.786
170.384	0.5	error	0.873
173.093	0.5	error	0.673
175.349	0.5	congruent	1.035
177.94	0.5	incongruent	0.499
182.889	0.5	error	0.684
185.229	0.5	error	0.657
187.987	0.5	neutral	0.587
190.478	0.5	congruent	0.783
193.036	0.5	congruent	0.693
195.677	0.5	congruent	0.882
198.034	0.5	neutral	1.042
200.475	0.5	neutral	0.575
205.623	0.5	incongruent	1.044
208.181	0.5	error	0.54
213.397	0.5	incongruent	0.804
220.802	0.5	congruent	0.819
223.393	0.5	congruent	0.694
225.7	0.5	incongruent	0.949
228.442	0.5	congruent	0.91
231.05	0.5	congruent	0.652
233.306	0.5	congruent	0.813
238.221	0.5	neutral	0.85
240.912	0.5	congruent	0.676
245.877	0.5	congruent	0.834
248.218	0.5	congruent	0.682
250.976	0.5	incongruent	0.648
258.532	0.5	neutral	0.869
260.822	0.5	incongruent	0.866
263.48	0.5	incongruent	0.61
265.971	0.5	error	0.0
268.328	0.5	neutral	0.92
270.685	0.5	neutral	0.699
275.75	0.5	incongruent	0.704
278.057	0.5	incongruent	0.872
282.972	0.5	neutral	0.929
285.563	0.5	error	0.0
287.82	0.5	congruent	0.969
290.31	0.5	neutral	0.637
295.56	0.5	error	0.0
300.407	0.5	congruent	1.112
303.065	0.5	congruent	0.832
305.757	0.5	neutral	0.793
308.398	0.5	incongruent	0.634
321.136	0.5	congruent	0.983
323.426	0.5	neutral	0.99
328.324	0.5	congruent	0.916
330.932	0.5	incongruent	0.786
333.39	0.5	neutral	1.029
335.83	0.5	congruent	0.724
340.879	0.5	neutral	1.184
343.637	0.5	error	1.065
346.027	0.5	error	0.959
348.585	0.5	error	0.643
350.842	0.5	neutral	0.695
355.69	0.5	congruent	0.863
360.638	0.5	error	0.0
363.396	0.5	error	0.713
365.937	0.5	neutral	0.825
368.294	0.5	error	0.0
370.701	0.5	incongruent	0.917
373.192	0.5	error	0.0
375.833	0.5	error	0.0
383.59	0.5	incongruent	0.625
386.181	0.5	incongruent	0.607
388.471	0.5	congruent	0.768
396.094	0.5	neutral	0.906
398.802	0.5	neutral	0.725
401.46	0.5	congruent	0.769
406.659	0.5	error	0.0
408.966	0.5	error	0.0
